Zhuyin,Wade- Giles,MPS II,Yale,Tong- yong,Hanyu Pinyin,Gwoyeu Romatzyh,,,,IPA
zh-Bopo??,t?ê,te,te,te,te,te,ter,tee,teh,t??
zh-Bopo??,tei,dei,dei,dei,dei,dei,deir,deei,dey,tei
zh-Bopo??,tên,den,den,den,den,den,dern,deen,denn,t?n
zh-Bopo??,têng,deng,deng,deng,deng,deng,derng,deeng,denq,t??
zh-Bopo??,t?êng,teng,teng,teng,teng,teng,terng,teeng,tenq,t???
zh-Bopo??,ti,di,di,di,di,di,dyi,dii,dih,ti
zh-Bopo??,t?i,ti,ti,ti,ti,ti,tyi,tii,tih,t?i
zh-Bopo???,tiang,diang,dyang,diang,diang,diang,dyang,deang,dianq,tia?
zh-Bopo???,tiao,diau,dyau,diao,diao,diau,dyau,deau,diaw,tiau
zh-Bopo???,t?iao,tiau,tyau,tiao,tiao,tiau,tyau,teau,tiaw,t?iau
zh-Bopo???,tieh,die,dye,die,die,die,dye,diee,dieh,tie
zh-Bopo???,t?ieh,tie,tye,tie,tie,tie,tye,tiee,tieh,t?ie
zh-Bopo???,tien,dian,dyan,dian,dian,dian,dyan,dean,diann,ti?n
zh-Bopo???,t?ien,tian,tyan,tian,tian,tian,tyan,tean,tiann,t?i?n
zh-Bopo???,ting,ding,ding,ding,ding,ding,dyng,diing,dinq,ti?
zh-Bopo???,t?ing,ting,ting,ting,ting,ting,tyng,tiing,tinq,t?i?
zh-Bopo???,tiu,diou,dyou,diou,diu,diou,dyou,deou,diow,tiou
zh-Bopo???,to,duo,dwo,duo,duo,duo,dwo,duoo,duoh,tuo
zh-Bopo???,t?o,tuo,two,tuo,tuo,tuo,two,tuoo,tuoh,t?uo
zh-Bopo??,tou,dou,dou,dou,dou,dou,dour,doou,dow,tou
zh-Bopo??,t?ou,tou,tou,tou,tou,tou,tour,toou,tow,t?ou
zh-Bopo??,tsa,tza,dza,za,za,tza,tzar,tzaa,tzah,tsa
zh-Bopo??,ts?a,tsa,tsa,ca,ca,tsa,tsar,tsaa,tsah,ts?a
zh-Bopo??,tsai,tzai,dzai,zai,zai,tzai,tzair,tzae,tzay,tsai
zh-Bopo??,ts?ai,tsai,tsai,cai,cai,tsai,tsair,tsae,tsay,ts?ai
zh-Bopo??,tsan,tzan,dzan,zan,zan,tzan,tzarn,tzaan,tzann,tsan
zh-Bopo??,ts?an,tsan,tsan,can,can,tsan,tsarn,tsaan,tsann,ts?an
zh-Bopo??,tsang,tzang,dzang,zang,zang,tzang,tzarng,tzaang,tzanq,tsa?
zh-Bopo??,ts?ang,tsang,tsang,cang,cang,tsang,tsarng,tsaang,tsanq,ts?a?
zh-Bopo??,tsao,tzau,dzau,zao,zao,tzau,tzaur,tzao,tzaw,tsau
zh-Bopo??,ts?ao,tsau,tsau,cao,cao,tsau,tsaur,tsao,tsaw,ts?au
zh-Bopo??,tsê,tze,dze,ze,ze,tze,tzer,tzee,tzeh,ts?
zh-Bopo??,ts?ê,tse,tse,ce,ce,tse,tser,tsee,tseh,ts??
zh-Bopo??,tsei,tzei,dzei,zei,zei,tzei,tzeir,tzeei,tzey,tsei
zh-Bopo??,tsên,tzen,dzen,zen,zen,tzen,tzern,tzeen,tzenn,ts?n
zh-Bopo??,ts?ên,tsen,tsen,cen,cen,tsen,tsern,tseen,tsenn,ts??n
zh-Bopo??,tsêng,tzeng,dzeng,zeng,zeng,tzeng,tzerng,tzeeng,tzenq,ts??
zh-Bopo??,ts?êng,tseng,tseng,ceng,ceng,tseng,tserng,tseeng,tsenq,ts???
zh-Bopo???,tso,tzuo,dzwo,zuo,zuo,tzuo,tzwo,tzuoo,tzuoh,tsuo
zh-Bopo???,ts?o,tsuo,tswo,cuo,cuo,tsuo,tswo,tsuoo,tsuoh,ts?uo
zh-Bopo??,tsou,tzou,dzou,zou,zou,tzou,tzour,tzoou,tzow,tsou
zh-Bopo??,ts?ou,tsou,tsou,cou,cou,tsou,tsour,tsoou,tsow,ts?ou
zh-Bopo??,tsu,tzu,dzu,zu,zu,tzu,tzwu,tzuu,tzuh,tsu
zh-Bopo??,ts?u,tsu,tsu,cu,cu,tsu,tswu,tsuu,tsuh,ts?u
zh-Bopo???,tsuan,tzuan,dzwan,zuan,zuan,tzuan,tzwan,tzoan,tzuann,tsuan
zh-Bopo???,ts?uan,tsuan,tswan,cuan,cuan,tsuan,tswan,tsoan,tsuann,ts?uan
zh-Bopo???,tsui,tzuei,dzwei,zuei,zui,tzuei,tzwei,tzoei,tzuey,tsuei
zh-Bopo???,ts?ui,tsuei,tswei,cuei,cui,tsuei,tswei,tsoei,tsuey,ts?uei
zh-Bopo???,tsun,tzuen,dzwun,zun,zun,tzuen,tzwen,tzoen,tzuenn,tsu?n
zh-Bopo???,ts?un,tsuen,tswun,cun,cun,tsuen,tswen,tsoen,tsuenn,ts?u?n
zh-Bopo???,tsung,tzung,dzung,zong,zong,tzong,tzorng,tzoong,tzonq,ts??
zh-Bopo???,ts?ung,tsung,tsung,cong,cong,tsong,tsorng,tsoong,tsonq,ts???
zh-Bopo??,tu,du,du,du,du,du,dwu,duu,duh,tu
zh-Bopo??,t?u,tu,tu,tu,tu,tu,twu,tuu,tuh,t?u
zh-Bopo???,tuan,duan,dwan,duan,duan,duan,dwan,doan,duann,tuan
zh-Bopo???,t?uan,tuan,twan,tuan,tuan,tuan,twan,toan,tuann,t?uan
zh-Bopo???,tui,duei,dwei,duei,dui,duei,dwei,doei,duey,tuei
zh-Bopo???,t?ui,tuei,twei,tuei,tui,tuei,twei,toei,tuey,t?uei
zh-Bopo???,tun,duen,dwun,dun,dun,duen,dwen,doen,duenn,tu?n
zh-Bopo???,t?un,tuen,twun,tun,tun,tuen,twen,toen,tuenn,t?u?n
zh-Bopo???,tung,dung,dung,dong,dong,dong,dorng,doong,donq,t??
zh-Bopo???,t?ung,tung,tung,tong,tong,tong,torng,toong,tonq,t???
zh-Bopo?,tz?,tz,dz,zih,zi,tzy,tzyr,tzyy,tzyh,ts?
zh-Bopo?,tz??,tsz,tsz,cih,ci,tsy,tsyr,tsyy,tsyh,ts??
zh-Bopo??,wa,wa,wa,wa,wa,ua,wa,waa,wah,ua
zh-Bopo??,wai,wai,wai,wai,wai,uai,wai,woai,way,uai
zh-Bopo??,wan,wan,wan,wan,wan,uan,wan,woan,wann,uan
zh-Bopo??,wang,wang,wang,wang,wang,uang,wang,woang,wanq,ua?
zh-Bopo??,wei,wei,wei,wei,wei,uei,wei,woei,wey,uei
zh-Bopo??,wên,wen,wen,wun,wen,uen,wen,woen,wenn,u?n
zh-Bopo??,wêng,weng,weng,wong,weng,ueng,weng,woeng,wenq,u??
zh-Bopo??,wo,wo,wo,wo,wo,uo,wo,woo,woh,uo
zh-Bopo?,wu,wu,wu,wu,wu,u,wu,wuu,wuh,u
zh-Bopo??,ya,ya,ya,ya,ya,ia,ya,yea,yah,ia
zh-Bopo??,yen,yan,yan,yan,yan,ian,yan,yean,yann,i?n
zh-Bopo??,yang,yang,yang,yang,yang,iang,yang,yeang,yanq,ia?
zh-Bopo??,yao,yau,yau,yao,yao,iau,yau,yeau,yaw,iau
zh-Bopo??,yeh,ye,ye,ye,ye,ie,ye,yee,yeh,ie
zh-Bopo??,yin,yin,yin,yin,yin,in,yn,yiin,yinn,in
zh-Bopo??,ying,ying,ying,ying,ying,ing,yng,yiing,yinq,i?
zh-Bopo??,yu,you,you,you,you,iou,you,yeou,yow,iou
zh-Bopo??,yung,yung,yung,yong,yong,iong,yong,yeong,yonq,i??
zh-Bopo?,yü,yu,yu,yu,yu,iu,yu,yeu,yuh,y
zh-Bopo??,yüan,yuan,ywan,yuan,yuan,iuan,yuan,yeuan,yuann,y?n
zh-Bopo??,yüeh,yue,ywe,yue,yue,iue,yue,yeue,yueh,ye
zh-Bopo??,yün,yun,yun,yun,yun,iun,yun,yeun,yunn,yn
